worker,account,deviceId,transactionCount,gasUsed,costWei,costGwei,costEth,costEur,costUsd
VM-0,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0,30,90821001,93190703059251035,93190703.059251035,0.093190703059251035,279.572109177753105,0
VM-1,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,1,13,81771403,83954373691552784,83954373.691552784,0.083954373691552784,251.863121074658352,0
VM-2,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,2,60,17661560,17912947082381947,17912947.082381947,0.017912947082381947,53.738841247145841,0
VM-3,0x90F79bf6EB2c4f870365E785982E1f101E93b906,3,50,92481911,94817676590765700,94817676.5907657,0.0948176765907657,284.4530297722971,0
VM-4,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,4,59,17398359,17644344144125652,17644344.144125652,0.017644344144125652,52.933032432376956,0
VM-5,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,5,85,103260415,105756155459867341,105756155.459867341,0.105756155459867341,317.268466379602023,0
