experiment_id,dataset,round,source_round,timestamp_unix_ms,accuracy_percent,aggregated_model_count,expected_models,global_model_round,loss,macro_auroc,macro_f1,participant_count,role
phala,chestmnist,2,1,1788090004784,89.16105737083761,5,5,2,0.3959545894924458,0.6490901062910949,0.16871818872054514,6,aggregator
phala,chestmnist,3,2,1788090046208,87.56965185218205,5,5,3,0.35006430923159704,0.673752281135824,0.15214523485897613,6,aggregator
phala,chestmnist,4,3,1788090086733,87.88487623462883,5,5,4,0.352912426563304,0.6911004672969071,0.17324613509664416,6,aggregator
phala,chestmnist,5,4,1788090126014,88.56149422725449,5,5,5,0.330448513391996,0.6935021365998942,0.16626303410172763,6,aggregator
phala,chestmnist,6,5,1788090161566,88.56149422725449,5,5,6,0.330448513391996,0.6935021365998942,0.16626303410172763,6,aggregator
phala,chestmnist,7,6,1788090200219,88.52424043660169,5,5,7,0.33063678100677646,0.6915417385153307,0.17102393989244358,6,aggregator
phala,chestmnist,8,7,1788090240348,88.52424043660169,5,5,8,0.33063678100677646,0.6915417385153307,0.17102393989244358,6,aggregator
phala,chestmnist,9,8,1788090276478,87.50087562328459,5,5,9,0.33355063909210536,0.6998803395120267,0.17097368674515256,6,aggregator
phala,chestmnist,10,9,1788090312715,87.97530423929032,5,5,10,0.33329344855484194,0.7042392089443613,0.16939126894934345,6,aggregator
phala,chestmnist,11,10,1788090349507,86.9267851570709,5,5,11,0.34421697513934263,0.7100258011495155,0.1773365518163568,6,aggregator
phala,chestmnist,12,11,1788090384701,86.20590838751583,5,5,12,0.34677196053177123,0.7069647071169413,0.1768929995799705,6,aggregator
phala,chestmnist,13,12,1788090419705,86.49279441638912,5,5,13,0.3422864294103081,0.7073242744668623,0.18187234465332244,6,aggregator
phala,chestmnist,14,13,1788090456919,87.28181059790742,5,5,14,0.324901934089447,0.7043897495089879,0.1793208449275722,6,aggregator
phala,chestmnist,15,14,1788090497414,87.03377040202253,5,5,15,0.3266259240375258,0.704810152471839,0.1851426098558379,6,aggregator
phala,chestmnist,16,15,1788090537168,87.62951264400023,5,5,16,0.32428867826531527,0.7094389431524168,0.17108313495715854,6,aggregator
phala,chestmnist,17,16,1788090571694,86.30939113932918,5,5,17,0.3339358468423497,0.7062852221384464,0.166741425478131,6,aggregator
phala,chestmnist,18,17,1788090608612,87.85462743025263,5,5,18,0.31293886654228215,0.701245508728162,0.18673065947361436,6,aggregator
phala,chestmnist,19,18,1788090644272,87.85462743025263,5,5,19,0.31293886654228215,0.701245508728162,0.18673065947361436,6,aggregator
phala,chestmnist,20,19,1788090682629,87.85462743025263,5,5,20,0.31293886654228215,0.701245508728162,0.18673065947361436,6,aggregator
phala,chestmnist,21,20,1788090719996,87.85462743025263,5,5,21,0.31293886654228215,0.701245508728162,0.18673065947361436,6,aggregator
phala,chestmnist,22,21,1788090754668,87.85462743025263,5,5,22,0.31293886654228215,0.701245508728162,0.18673065947361436,6,aggregator
phala,chestmnist,23,22,1788090792555,87.85462743025263,5,5,23,0.31293886654228215,0.701245508728162,0.18673065947361436,6,aggregator
phala,chestmnist,24,23,1788090828048,87.85462743025263,5,5,24,0.31293886654228215,0.701245508728162,0.18673065947361436,6,aggregator
phala,chestmnist,25,24,1788090865510,86.72746145665505,5,5,25,0.32831031544844314,0.7041662456384822,0.18470865890615829,6,aggregator
