metric,first,first_global_model_round,best,best_global_model_round,final,final_global_model_round
Label-wise accuracy (%),89.16105737083761,2,89.16105737083761,2,86.72746145665505,25
Unweighted test BCE,0.3959545894924458,2,0.31293886654228215,18,0.32831031544844314,25
Macro AUROC,0.6490901062910949,2,0.7100258011495155,11,0.7041662456384822,25
Macro F1,0.16871818872054514,2,0.18673065947361436,18,0.18470865890615829,25
Micro F1,0.2480284521416422,2,0.26817144719687097,5,0.26553194488494203,25
Exact match (%),26.331743413720858,2,31.921722462443718,5,29.795390719030003,25
