experiment_id,dataset,federated_round,global_model_round,timestamp_unix_ms,participant_count,aggregated_model_count,expected_models,aggregator_worker,selected_candidate,output_kind,gate_passed,parent_validation_loss,selected_validation_loss,validation_data_hash,accuracy_percent,exact_match_percent,loss,micro_f1,macro_f1,macro_auroc,sample_count,label_count,correct_predictions,total_predictions
phala,chestmnist,1,2,1788090003485,6,5,5,VM-5,coordinate_median,candidate,True,0.6699525389316106,0.3931869311161402,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,89.16105737083761,26.331743413720858,0.3959545894924458,0.2480284521416422,0.16871818872054514,0.6490901062910949,22433,14,280021,314062
phala,chestmnist,2,3,1788090044242,6,5,5,VM-2,multi_krum,candidate,True,0.3931869311161402,0.345921459639479,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.56965185218205,25.658627914233495,0.35006430923159704,0.25870155517156257,0.15214523485897613,0.673752281135824,22433,14,275023,314062
phala,chestmnist,3,4,1788090085151,6,5,5,VM-3,fedavg,candidate,True,0.345921459639479,0.3486474740509914,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.88487623462883,29.719609503855928,0.352912426563304,0.26638388123011664,0.17324613509664416,0.6911004672969071,22433,14,276013,314062
phala,chestmnist,4,5,1788090124745,6,5,5,VM-3,multi_krum,candidate,True,0.3486474740509914,0.32786365765105263,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,88.56149422725449,31.921722462443718,0.330448513391996,0.26817144719687097,0.16626303410172763,0.6935021365998942,22433,14,278138,314062
phala,chestmnist,5,6,1788090160368,6,5,5,VM-5,fedavg,parent_fallback,False,0.32786365765105263,0.35137305305987493,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,88.56149422725449,31.921722462443718,0.330448513391996,0.26817144719687097,0.16626303410172763,0.6935021365998942,22433,14,278138,314062
phala,chestmnist,6,7,1788090198796,6,5,5,VM-4,multi_krum,candidate,True,0.32786365765105263,0.327161968232019,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,88.52424043660169,31.676547942762895,0.33063678100677646,0.2579728644664512,0.17102393989244358,0.6915417385153307,22433,14,278021,314062
phala,chestmnist,7,8,1788090238952,6,5,5,VM-4,fedavg,parent_fallback,False,0.327161968232019,0.3442600848662284,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,88.52424043660169,31.676547942762895,0.33063678100677646,0.2579728644664512,0.17102393989244358,0.6915417385153307,22433,14,278021,314062
phala,chestmnist,8,9,1788090275332,6,5,5,VM-2,multi_krum,candidate,True,0.327161968232019,0.3291668867321553,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.50087562328459,29.839967904426512,0.33355063909210536,0.2626645879900073,0.17097368674515256,0.6998803395120267,22433,14,274807,314062
phala,chestmnist,9,10,1788090311553,6,5,5,VM-5,multi_krum,candidate,True,0.3291668867321553,0.32879695702286266,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.97530423929032,31.2263183702581,0.33329344855484194,0.26765179281323326,0.16939126894934345,0.7042392089443613,22433,14,276297,314062
phala,chestmnist,10,11,1788090348135,6,5,5,VM-1,fedavg,candidate,True,0.32879695702286266,0.3394842213093271,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,86.9267851570709,28.007845584629788,0.34421697513934263,0.2656674774645872,0.1773365518163568,0.7100258011495155,22433,14,273004,314062
