experiment_id,dataset,federated_round,global_model_round,timestamp_unix_ms,participant_count,aggregated_model_count,expected_models,aggregator_worker,aggregation_rule,accuracy_percent,exact_match_percent,loss,micro_f1,macro_f1,macro_auroc,sample_count,label_count,correct_predictions,total_predictions
phala,chestmnist,1,2,1788243106327,6,5,5,VM-2,equal_weight_fedavg,88.69363374110844,25.284179556902775,0.41414830100438255,0.254247611046939,0.14098417444413835,0.6555732122104928,22433,14,278553,314062
phala,chestmnist,2,3,1788243138763,6,5,5,VM-2,equal_weight_fedavg,87.30919372607956,28.221816074533052,0.36377939851203867,0.2600575512856214,0.16391035321594843,0.6812835139673143,22433,14,274205,314062
phala,chestmnist,3,4,1788243173616,6,5,5,VM-4,equal_weight_fedavg,87.47412931204667,28.61409530602238,0.35627950077624626,0.26643295354951796,0.16330845181894332,0.6920295756047519,22433,14,274723,314062
phala,chestmnist,4,5,1788243204212,6,5,5,VM-4,equal_weight_fedavg,88.35548394902916,32.75085811081888,0.34574263170321257,0.26618777213716716,0.16667692203312112,0.7006913950381363,22433,14,277491,314062
phala,chestmnist,5,6,1788243228198,6,5,5,VM-3,equal_weight_fedavg,87.36714406709504,30.749342486515403,0.3493106423271746,0.2674347753835927,0.18631704899157298,0.7065964165324845,22433,14,274387,314062
phala,chestmnist,6,7,1788243254166,6,5,5,VM-4,equal_weight_fedavg,87.6642191669161,32.04653858155396,0.3407244474940973,0.2673600605143721,0.19246759223141635,0.7103498125115403,22433,14,275320,314062
phala,chestmnist,7,8,1788243283041,6,5,5,VM-3,equal_weight_fedavg,87.31524348695481,30.53537199661213,0.33797255236490603,0.2711938824045955,0.19537667628142125,0.71289501374707,22433,14,274224,314062
phala,chestmnist,8,9,1788243313930,6,5,5,VM-4,equal_weight_fedavg,87.4391043806637,32.064369455712566,0.32977543386840136,0.2687994661822765,0.18748593379626474,0.717286587759331,22433,14,274613,314062
phala,chestmnist,9,10,1788243345102,6,5,5,VM-4,equal_weight_fedavg,86.58131197024791,28.61409530602238,0.34369252592448973,0.2671929611017406,0.18658264856677179,0.7166546332575779,22433,14,271919,314062
phala,chestmnist,10,11,1788243374596,6,5,5,VM-3,equal_weight_fedavg,86.21386859919379,27.557616012124996,0.34345660007255663,0.2692119432207538,0.18747679628638192,0.7190568847233141,22433,14,270765,314062
phala,chestmnist,11,12,1788243402910,6,5,5,VM-4,equal_weight_fedavg,86.2390228680961,27.47737707841127,0.34358854853112275,0.2657492354740061,0.19179522085749587,0.7173665282543401,22433,14,270844,314062
phala,chestmnist,12,13,1788243431149,6,5,5,VM-2,equal_weight_fedavg,86.25908260152454,27.18316765479428,0.3447906219731837,0.26665760361615715,0.17679283125157688,0.7203009492715939,22433,14,270907,314062
phala,chestmnist,13,14,1788243461094,6,5,5,VM-4,equal_weight_fedavg,85.87858448331858,26.478848125529353,0.34071385727754483,0.26533925258415053,0.17937558869472095,0.7193291792975368,22433,14,269712,314062
phala,chestmnist,14,15,1788243492595,6,5,5,VM-4,equal_weight_fedavg,86.42752068062994,27.86074087282129,0.33129794243751753,0.26567668136714445,0.1786567181456994,0.718043119116404,22433,14,271436,314062
phala,chestmnist,15,16,1788243523316,6,5,5,VM-1,equal_weight_fedavg,86.13203762314447,27.909775776757456,0.34050765253423615,0.2653329734835706,0.17864905160283026,0.7195122750512902,22433,14,270508,314062
phala,chestmnist,16,17,1788243551849,6,5,5,VM-3,equal_weight_fedavg,86.3240379288166,27.64231266437837,0.3363340540205785,0.268034560916171,0.17779241048636227,0.7162060149842456,22433,14,271111,314062
phala,chestmnist,17,18,1788243588056,6,5,5,VM-1,equal_weight_fedavg,86.21959995160191,27.914233495297108,0.3337728525002267,0.2646254226632457,0.1811295982706046,0.7183193300107059,22433,14,270783,314062
phala,chestmnist,18,19,1788243616950,6,5,5,VM-5,equal_weight_fedavg,86.1715202730671,26.862211919939377,0.33181911686209675,0.2669052361500287,0.1787515087659321,0.7162022192770635,22433,14,270632,314062
phala,chestmnist,19,20,1788243647292,6,5,5,VM-4,equal_weight_fedavg,85.92475371105068,27.031605224446125,0.3350557285704777,0.26355685131195333,0.17827543050615013,0.7153177072706798,22433,14,269857,314062
phala,chestmnist,20,21,1788243678739,6,5,5,VM-0,equal_weight_fedavg,86.08332112767543,25.8324789372799,0.33238344548352167,0.2644272034197816,0.17775030006496342,0.7121633500793653,22433,14,270355,314062
phala,chestmnist,21,22,1788243709190,6,5,5,VM-5,equal_weight_fedavg,85.72415637676637,26.496678999687962,0.33579831138828753,0.26288532675709,0.17885539552395002,0.7121389709648465,22433,14,269227,314062
phala,chestmnist,22,23,1788243738061,6,5,5,VM-0,equal_weight_fedavg,86.0403359846145,26.603664244639592,0.33203016041882705,0.2628871179259558,0.17727700726196777,0.7109466173739517,22433,14,270220,314062
phala,chestmnist,23,24,1788243766259,6,5,5,VM-2,equal_weight_fedavg,85.90819647076054,27.464003922792312,0.32973311173845726,0.2623218601550129,0.1782018193507907,0.7136269359352215,22433,14,269805,314062
phala,chestmnist,24,25,1788243795547,6,5,5,VM-1,equal_weight_fedavg,85.85916156682438,26.02416083448491,0.3325438750451859,0.2625819842258199,0.17747070816439142,0.7113524957727245,22433,14,269651,314062
