metric,first,first_global_model_round,best,best_global_model_round,final,final_global_model_round
Label-wise accuracy (%),88.69363374110844,2,88.69363374110844,2,85.85916156682438,25
Unweighted test BCE,0.41414830100438255,2,0.32973311173845726,24,0.3325438750451859,25
Macro AUROC,0.6555732122104928,2,0.7203009492715939,13,0.7113524957727245,25
Macro F1,0.14098417444413835,2,0.19537667628142125,8,0.17747070816439142,25
Micro F1,0.254247611046939,2,0.2711938824045955,8,0.2625819842258199,25
Exact match (%),25.284179556902775,2,32.75085811081888,5,26.02416083448491,25
