experiment_id,dataset,round,source_round,timestamp_unix_ms,accuracy_percent,aggregated_model_count,expected_models,global_model_round,loss,macro_auroc,macro_f1,participant_count,role
phala,chestmnist,2,1,1788243107612,88.69363374110844,5,5,2,0.41414830100438255,0.6555732122104928,0.14098417444413835,6,aggregator
phala,chestmnist,3,2,1788243140144,87.30919372607956,5,5,3,0.36377939851203867,0.6812835139673143,0.16391035321594843,6,aggregator
phala,chestmnist,4,3,1788243175772,87.47412931204667,5,5,4,0.35627950077624626,0.6920295756047519,0.16330845181894332,6,aggregator
phala,chestmnist,5,4,1788243205536,88.35548394902916,5,5,5,0.34574263170321257,0.7006913950381363,0.16667692203312112,6,aggregator
phala,chestmnist,6,5,1788243229625,87.36714406709504,5,5,6,0.3493106423271746,0.7065964165324845,0.18631704899157298,6,aggregator
phala,chestmnist,7,6,1788243255379,87.6642191669161,5,5,7,0.3407244474940973,0.7103498125115403,0.19246759223141635,6,aggregator
phala,chestmnist,8,7,1788243284369,87.31524348695481,5,5,8,0.33797255236490603,0.71289501374707,0.19537667628142125,6,aggregator
phala,chestmnist,9,8,1788243315238,87.4391043806637,5,5,9,0.32977543386840136,0.717286587759331,0.18748593379626474,6,aggregator
phala,chestmnist,10,9,1788243346367,86.58131197024791,5,5,10,0.34369252592448973,0.7166546332575779,0.18658264856677179,6,aggregator
phala,chestmnist,11,10,1788243375842,86.21386859919379,5,5,11,0.34345660007255663,0.7190568847233141,0.18747679628638192,6,aggregator
phala,chestmnist,12,11,1788243404563,86.2390228680961,5,5,12,0.34358854853112275,0.7173665282543401,0.19179522085749587,6,aggregator
phala,chestmnist,13,12,1788243432429,86.25908260152454,5,5,13,0.3447906219731837,0.7203009492715939,0.17679283125157688,6,aggregator
phala,chestmnist,14,13,1788243462341,85.87858448331858,5,5,14,0.34071385727754483,0.7193291792975368,0.17937558869472095,6,aggregator
phala,chestmnist,15,14,1788243493898,86.42752068062994,5,5,15,0.33129794243751753,0.718043119116404,0.1786567181456994,6,aggregator
phala,chestmnist,16,15,1788243525085,86.13203762314447,5,5,16,0.34050765253423615,0.7195122750512902,0.17864905160283026,6,aggregator
phala,chestmnist,17,16,1788243553018,86.3240379288166,5,5,17,0.3363340540205785,0.7162060149842456,0.17779241048636227,6,aggregator
phala,chestmnist,18,17,1788243589331,86.21959995160191,5,5,18,0.3337728525002267,0.7183193300107059,0.1811295982706046,6,aggregator
phala,chestmnist,19,18,1788243618441,86.1715202730671,5,5,19,0.33181911686209675,0.7162022192770635,0.1787515087659321,6,aggregator
phala,chestmnist,20,19,1788243648577,85.92475371105068,5,5,20,0.3350557285704777,0.7153177072706798,0.17827543050615013,6,aggregator
phala,chestmnist,21,20,1788243680458,86.08332112767543,5,5,21,0.33238344548352167,0.7121633500793653,0.17775030006496342,6,aggregator
phala,chestmnist,22,21,1788243710495,85.72415637676637,5,5,22,0.33579831138828753,0.7121389709648465,0.17885539552395002,6,aggregator
phala,chestmnist,23,22,1788243739241,86.0403359846145,5,5,23,0.33203016041882705,0.7109466173739517,0.17727700726196777,6,aggregator
phala,chestmnist,24,23,1788243767570,85.90819647076054,5,5,24,0.32973311173845726,0.7136269359352215,0.1782018193507907,6,aggregator
phala,chestmnist,25,24,1788243796834,85.85916156682438,5,5,25,0.3325438750451859,0.7113524957727245,0.17747070816439142,6,aggregator
