worker,account,deviceId,transactionCount,gasUsed,costWei,costGwei,costEth,costEur,costUsd
VM-0,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0,32,90833464,92223178466260399,92223178.466260399,0.092223178466260399,276.669535398781197,0
VM-1,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,1,37,88515526,89869138131871068,89869138.131871068,0.089869138131871068,269.607414395613204,0
VM-2,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,2,50,92406916,93803821236105250,93803821.23610525,0.09380382123610525,281.41146370831575,0
VM-3,0x90f79bf6eb2c4f870365e785982e1f101e93b906,3,50,92196410,93788720894043834,93788720.894043834,0.093788720894043834,281.366162682131502,0
VM-4,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,4,110,109407702,110965466839026906,110965466.839026906,0.110965466839026906,332.896400517080718,0
VM-5,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,5,26,85240352,86973060637673664,86973060.637673664,0.086973060637673664,260.919181913020992,0
